what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1376964271525
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.300.v201108240515,"org.eclipse.wst.ws.service.policy.ui",1376964284037
started,bundle,org.eclipse.wst.ws.service.policy,1.0.303.v201009221810,"org.eclipse.wst.ws.service.policy",1376964284053
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1376964284125
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1376964284127
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1376964287892
started,bundle,org.eclipse.jst.server.ui,1.1.202.v20110419,"org.eclipse.jst.server.ui",1376964306349
started,bundle,org.eclipse.jdt.debug,3.7.1.v20111006_r372,"org.eclipse.jdt.debug",1376964311161
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1376964311369
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1376964311540
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1376964330167
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1376964332592
started,bundle,org.eclipse.pde,3.7.2.v201202080800,"org.eclipse.pde",1376964374473
started,bundle,org.eclipse.jdt.junit.core,3.7.0.v20110928-1453,"org.eclipse.jdt.junit.core",1376964374547
started,bundle,org.eclipse.equinox.simpleconfigurator.manipulator,2.0.0.v20110815-1438,"org.eclipse.equinox.simpleconfigurator.manipulator",1376964374565
started,bundle,org.eclipse.equinox.frameworkadmin,2.0.0.v20110815-1438,"org.eclipse.equinox.frameworkadmin",1376964374585
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1376964399903
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1376964405553
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1376964412099
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1376964415576
started,bundle,org.eclipse.wst.html.core,1.1.502.v201202091936,"org.eclipse.wst.html.core",1376964415765
started,bundle,org.eclipse.wst.css.core,1.1.501.v201111292150,"org.eclipse.wst.css.core",1376964416137
started,bundle,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui",1376964419700
started,bundle,org.eclipse.wst.dtd.ui,1.0.600.v201103171359,"org.eclipse.wst.dtd.ui",1376964420264
started,bundle,org.eclipse.wst.xsl.ui,1.1.200.v201103082057,"org.eclipse.wst.xsl.ui",1376964420333
opened,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1376964420449
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1376964420638
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1376964433419
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1376964446162
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1376964448932
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1376964492839
started,bundle,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.ui",1376964496689
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1376964502479
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1376964554998
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.AllMarkersView",1376964581573
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1376964581596
opened,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.PropertySheet",1376964581805
closed,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.AllMarkersView",1376964581820
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.PropertySheet",1376964583254
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1376964583309
opened,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1376964583446
closed,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.PropertySheet",1376964583453
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1376964586340
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1376964594090
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1376964601849
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1376964606322
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1376964608226
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1376964614566
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1376964677082
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1376964682569
opened,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1376964687931
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1376964687999
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1376964719589
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1376964721437
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1376964721557
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1376964721708
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1376964728149
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1376964731393
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1376964784635
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.window.preferences",1376964784646
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1376964790987
